ISO_Code,Year,Carbon_stocks_in_forests,Forest_area,Index_of_carbon_stocks_in_forests,Index_of_forest_extent,Land_area,Share_of_forest_area
897.0,1994,142912.0242,1699258.238,99.5626298124932,99.369534078598,3854096.6,44.0896639176091
897.0,1995,142598.1243,1693867.63,99.343944927741,99.0543011178969,3854096.6,43.9497969511195
897.0,1996,142284.2241,1688477.022,99.1252598339876,98.7390681571959,3854096.6,43.8099299846299
897.0,1997,141970.3242,1683086.414,98.9065749492354,98.4238351964948,3860971.6,43.5923023624416
897.0,1998,141656.4242,1677695.806,98.6878899948161,98.1086022357939,3858123.6,43.4847604674977
897.0,1999,141342.524,1672305.198,98.4692049010627,97.7933692750928,3858123.6,43.3450394901812
897.0,2000,141028.624,1666914.59,98.2505199466435,97.4781363143917,3858419.6,43.2020040018457
897.0,2001,140665.6924,1661853.906,97.9976761097422,97.1821967097141,3858419.6,43.0708444980945
897.0,2002,140302.7613,1656793.222,97.7448326211763,96.8862571050364,3858318.6,42.940809035314
897.0,2003,139939.8301,1651732.538,97.4919890629433,96.5903175003587,3858319.6,42.8096350027613
897.0,2004,139576.8985,1646671.854,97.239145226042,96.294377895681,3858320.6,42.678461038204
897.0,2005,139213.967,1641611.17,96.9863014588078,95.9984382910033,3858323.6,42.5472650868372
897.0,2006,138851.0357,1636550.486,96.7334578309078,95.7024986863256,3858322.6,42.4161133130755
897.0,2007,138488.1041,1631489.802,96.4806139940065,95.406559081648,3858323.6,42.2849395525041
897.0,2008,138125.173,1626429.118,96.2277705054407,95.1106194769703,3856873.6,42.1696245892009
897.0,2009,137762.2417,1621368.434,95.9749268775406,94.8146798722926,3856873.6,42.0384125111075
897.0,2010,137399.3103,1616307.75,95.7220831799735,94.5187402676149,3856873.6,41.9072004330139
897.0,2011,137308.0556,1613645.89,95.6585086979408,94.3630795316142,3856828.9,41.8386693275401
897.0,2012,137216.9093,1610987.79,95.5950097350196,94.2076386735812,3856807.5,41.7699817789713
897.0,2013,137125.7636,1608329.69,95.5315111901008,94.0521978155482,3856564.6,41.7036885626135
897.0,2014,137034.6174,1605671.59,95.4680122968466,93.8967569575152,3856522.6,41.6352179551599
897.0,2015,136943.4716,1603013.49,95.4045136822607,93.7413160994822,3856530.6,41.566206942582
897.0,2016,136837.4255,1600003.02,95.3306344642141,93.565269284132,3856524.6,41.4882098768409
897.0,2017,136673.0453,1596205.1886,95.2161155838559,93.3431790048044,3856500.6,41.389989375342
897.0,2018,136627.0998,1593849.66,95.1841066970344,93.2054319724485,3856506.6,41.3288456449161
897.0,2019,136434.7939,1591309.3,95.0501327977797,93.0568763356732,3856506.6,41.2629735937701
897.0,2020,136258.1466,1588889.18,94.9270677874299,92.9153521156126,3856506.6,41.2002193902637
898.0,1992,34188.386,585796.3952,100.0,100.0,3100389.8742,18.8942816538889
898.0,1993,34288.0407,585998.0906,100.291486997953,100.034430973228,3100389.8742,18.9007871389467
898.0,1994,34387.6959,586199.7859,100.582975458391,100.068861929385,3099697.5742,18.9115154581263
898.0,1995,34487.3503,586401.4814,100.874461578853,100.103292919683,3099696.5742,18.918028502559
898.0,1996,34587.0046,586603.1769,101.165947406818,100.137723909981,3099685.5742,18.9246026042947
898.0,1997,34686.6597,586804.8722,101.457435574759,100.172154866138,3099685.5742,18.9311095642805
898.0,1998,34786.3144,587006.5676,101.748922572712,100.206585839366,3099673.0742,18.9376928969034
898.0,1999,34885.9691,587208.263,102.040409570665,100.241016812594,3099634.3742,18.9444364111995
898.0,2000,34985.6239,587409.9584,102.331896861115,100.275447785821,3105866.7742,18.9129154952663
898.0,2001,35091.3968,589764.9532,102.641279409914,100.677463711371,3105891.6942,18.9885872163971
898.0,2002,35197.1703,592119.9479,102.950663713695,101.07947961985,3105844.5168,19.0647002674194
898.0,2003,35302.9438,594474.9428,103.260048017476,101.48149556247,3106505.3758,19.1364530520701
898.0,2004,35408.7174,596829.9376,103.569432613754,101.88351148802,3106301.6519,19.2135215597926
898.0,2005,35514.4906,599184.9325,103.878816040044,102.285527430641,3106574.6891,19.2876396824565
898.0,2006,35620.2639,601539.9273,104.18819975883,102.68754335619,3106890.2493,19.3614797766201
898.0,2007,35726.0373,603894.9221,104.497583770114,103.08955928174,3106890.1893,19.4372792504798
898.0,2008,35831.8107,606249.917,104.806967781398,103.49157522436,3106899.7887,19.513018064019
898.0,2009,35937.5844,608604.9116,105.116352670173,103.893591115769,3106649.1134,19.5903975436069
898.0,2010,36043.3578,610959.9065,105.425736681457,104.295607058389,3106692.5418,19.66592761529
898.0,2011,36212.4813,611989.2322,105.92041782844,104.471320959744,3106682.0947,19.6991263845134
898.0,2012,36381.6047,613018.5577,106.415098682927,104.647034826957,3106696.9946,19.7321643779724
898.0,2013,36550.7279,614047.8833,106.90977895242,104.82274871124,3106636.6383,19.7656808565812
898.0,2014,36719.8513,615077.209,107.404459806906,104.998462612595,3106544.6921,19.7993999752893
898.0,2015,36888.9748,616106.5346,107.89914095389,105.174176496879,3106948.14,19.8299587517415
898.0,2016,37142.0364,618419.5977,108.639338516887,105.569034355164,3106925.44,19.9045522540766
898.0,2017,37196.9873,618894.215,108.800068245398,105.650055219049,3106299.44,19.9238427252203
898.0,2018,37292.9668,620160.1262,109.080805393972,105.866156105018,3106294.0,19.9646307207238
898.0,2019,37382.1337,621427.43,109.341615892602,106.082494718636,3106301.047,20.0053832708894
898.0,2020,37477.0893,622686.81,109.619358164495,106.297480677976,3106331.5803,20.0457289862103
899.0,1992,,0.83,,100.0,19.8,4.19191919191919
899.0,1993,,0.83,,100.0,19.8,4.19191919191919
899.0,1994,,0.83,,100.0,19.8,4.19191919191919
899.0,1995,,0.83,,100.0,19.8,4.19191919191919
899.0,1996,,0.83,,100.0,19.8,4.19191919191919
899.0,1997,,0.83,,100.0,19.8,4.19191919191919
899.0,1998,,0.83,,100.0,19.8,4.19191919191919
899.0,1999,,0.83,,100.0,19.8,4.19191919191919
899.0,2000,,0.83,,100.0,19.8,4.19191919191919
899.0,2001,,0.849,,102.289156626506,19.8,4.28787878787879
899.0,2002,,0.868,,104.578313253012,19.8,4.38383838383838
899.0,2003,,0.887,,106.867469879518,19.8,4.47979797979798
899.0,2004,,0.906,,109.156626506024,19.8,4.57575757575758
899.0,2005,,0.925,,111.44578313253,19.8,4.67171717171717
899.0,2006,,0.944,,113.734939759036,19.8,4.76767676767677
899.0,2007,,0.963,,116.024096385542,19.8,4.86363636363636
899.0,2008,,0.982,,118.313253012048,19.8,4.95959595959596
899.0,2009,,1.001,,120.602409638554,19.8,5.05555555555555
899.0,2010,,1.02,,122.89156626506,19.8,5.15151515151515
899.0,2011,,1.02,,122.89156626506,19.8,5.15151515151515
899.0,2012,,1.02,,122.89156626506,19.8,5.15151515151515
899.0,2013,,1.02,,122.89156626506,19.8,5.15151515151515
899.0,2014,,1.02,,122.89156626506,19.8,5.15151515151515
899.0,2015,,1.02,,122.89156626506,19.8,5.15151515151515
899.0,2016,,1.02,,122.89156626506,19.8,5.15151515151515
899.0,2017,,1.02,,122.89156626506,19.8,5.15151515151515
899.0,2018,,1.02,,122.89156626506,19.8,5.15151515151515
899.0,2019,,1.02,,122.89156626506,19.8,5.15151515151515
899.0,2020,,1.02,,122.89156626506,19.8,5.15151515151515
900.0,1992,241713.7851,3218985.8634,100.0,100.0,9640834.0742,33.3890806399664
900.0,1993,242712.3995,3231324.1628,100.413139200806,100.383297719331,9750559.4742,33.1398846532867
900.0,1994,242276.2136,3223406.2222,100.23268366749,100.137321472898,9749355.7742,33.0627612414165
900.0,1995,241840.0274,3215488.2818,100.052228010061,99.8913452326782,9749054.7742,32.9825645283018
900.0,1996,241403.8409,3207570.3414,99.8717722285174,99.6453689924584,9749020.3742,32.9014631038066
900.0,1997,240967.6548,3199652.4008,99.6913166124591,99.3993927460254,9755958.4742,32.7969046738114
900.0,1998,240531.469,3191734.4602,99.5108611205146,99.1534164995924,9753358.3742,32.7244661556056
900.0,1999,240095.2826,3183816.5197,99.3304053803426,98.9074402562659,9754041.2742,32.6409990505308
900.0,2000,239659.0965,3175898.5792,99.1499497642843,98.6614640129395,9759486.2742,32.5416573164896
900.0,2001,239339.6854,3170344.6374,99.0178054184962,98.4889270079421,9759344.7942,32.4852201070316
900.0,2002,239020.2754,3164790.6954,98.8856615277918,98.3163899967316,9759124.6168,32.4290427642651
900.0,2003,238700.8656,3159236.7537,98.7535177198299,98.1438529948408,9759810.1758,32.3698586016919
900.0,2004,238381.455,3153682.8118,98.621373580898,97.9713159867368,9774499.1441,32.2643929403134
900.0,2005,238062.045,3148128.87,98.4892296901937,97.7987789817394,9774772.4983,32.2066715163705
900.0,2006,237990.2153,3145933.3281,98.4595128496873,97.7305729692507,9784800.8745,32.1512248276668
900.0,2007,237681.6461,3140424.7862,98.3318539328108,97.5594463432337,9784782.0558,32.0949896307449
900.0,2008,237373.0772,3134916.2445,98.2041951400479,97.3883197234299,9784662.4777,32.039084144647
900.0,2009,237064.5087,3129407.7024,98.0765365127701,97.2171930911998,9784505.6418,31.9832990747226
900.0,2010,236755.9405,3123899.1606,97.9488780096059,97.0460664682893,9784734.0473,31.926255179741
900.0,2011,236718.5905,3118419.8449,97.9334258499434,96.8758477741876,9784702.7997,31.8703583413449
900.0,2012,237345.9451,3139833.9629,98.1929702527339,97.5410920128616,10034696.0088,31.2897765925993
900.0,2013,237302.8349,3134184.1591,98.17513502667,97.365576989194,10034382.6909,31.2344491499445
900.0,2014,237259.7255,3128534.3554,98.1573001315762,97.1900619686332,10034322.9988,31.1783301750815
900.0,2015,237216.6155,3122884.5516,98.1394649882548,97.0145469449656,10034686.0128,31.120899524076
900.0,2016,237182.5066,3118584.9167,98.125353711984,96.880975842685,10034644.9968,31.0781788264009
900.0,2017,236696.167,3111907.2845,97.9241489690279,96.6735306259811,10033986.7403,31.0136674986971
900.0,2018,236490.5411,3106954.7842,97.8390789760546,96.5196778130095,10033999.9522,30.9642694737983
900.0,2019,236260.7567,3101737.71,97.7440143110812,96.3576058306712,10033989.241,30.91230850962
900.0,2020,236033.0713,3096673.84,97.6498180285209,96.2002932417103,10034013.5742,30.8617665015158
901.0,1992,45186.4681,990613.5267,100.0,100.0,2198839.97,45.0516426941247
901.0,1993,45771.376,995942.6146,101.29443155129,100.537958321421,2211002.37,45.0448460894232
901.0,1994,46013.1134,996738.4424,101.829408968567,100.61829518121,2210518.97,45.0906984254471
901.0,1995,46254.8512,997534.2703,102.364387271064,100.698632051094,2210218.97,45.132825472944
901.0,1996,46496.5885,998330.0982,102.899364467036,100.778968920978,2210184.47,45.1695372830124
901.0,1997,46738.3265,999125.926,103.434343212144,100.859305780768,2210243.47,45.2043378732389
901.0,1998,46980.0643,999921.7539,103.969321514642,100.939642650652,2210500.77,45.2350782895226
901.0,1999,47221.8016,1000717.5817,104.504298710613,101.019979510441,2211218.27,45.2563907994483
901.0,2000,47530.1818,1002267.4096,105.186760104404,101.176430826543,2213893.016,45.2717182969785
901.0,2001,47895.0546,1003438.8048,105.994242555107,101.294680291993,2213749.516,45.3275674392062
901.0,2002,48259.9275,1004610.2001,106.801725227115,101.412929767538,2213677.916,45.3819497786416
901.0,2003,48624.8002,1005781.5954,107.609207456513,101.531179243083,2213728.716,45.4338234007893
901.0,2004,48989.6732,1006952.9907,108.416690349826,101.649428718628,2213727.516,45.4867630917589
901.0,2005,49354.5462,1008124.3859,109.22417324314,101.767678184078,2213721.116,45.5398098077319
901.0,2006,49719.419,1009295.7811,110.031655693843,101.885927649528,2213186.116,45.6037462824929
901.0,2007,50084.2915,1010467.1764,110.83913748063,102.004177125073,2213157.716,45.6572601715114
901.0,2008,50449.1645,1011638.5717,111.646620373943,102.122426600618,2213013.936,45.7131586585725
901.0,2009,50814.0375,1012809.967,112.454103267257,102.240676076163,2213105.496,45.7641973611546
901.0,2010,51178.9101,1013981.3622,113.261585275349,102.358925541613,2213231.036,45.814528429557
901.0,2011,51577.2032,1014346.1779,114.143028585144,102.395752789593,2213222.416,45.8311903298561
901.0,2012,51975.4955,1014710.9935,115.024470124497,102.432580027478,2213237.286,45.8473657532625
901.0,2013,52373.7882,1015075.8092,115.905912549071,102.469407275458,2213367.132,45.8611585274051
901.0,2014,52772.0806,1015440.6248,116.78735430973,102.506234513343,2213443.876,45.8760502495795
901.0,2015,53170.3736,1015805.4405,117.668797398219,102.543061761323,2213390.303,45.8936428484028
901.0,2016,53508.4073,1016331.6402,118.416883527128,102.596180327324,2213426.046,45.9166748325144
901.0,2017,53766.0944,1016788.0909,118.987158458618,102.642257903261,2213353.618,45.9387999563656
901.0,2018,54016.9419,1017013.45,119.542297000194,102.665007350338,2213422.1909,45.9475582282146
901.0,2019,54263.776,1017237.72,120.088553679193,102.687646855449,2213407.7516,45.9579903099495
901.0,2020,54520.607,1017460.2,120.656934016934,102.71010566446,2213326.0797,45.9697380034445
902.0,1992,171852.0899,2834932.2127,100.0,100.0,7808089.27,36.3076306464923
902.0,1993,172329.3485,2836456.5236,100.277714748932,100.053768865907,7820247.27,36.270675666244
902.0,1994,172463.4368,2833447.5744,100.355740160248,99.9476305537978,7819766.27,36.2344279428188
902.0,1995,172597.5251,2830438.6253,100.433765571564,99.841492245216,7819467.27,36.1973332398129
902.0,1996,172731.6133,2827429.6762,100.511790924691,99.7353539366342,7819423.27,36.1590564747622
902.0,1997,172865.7019,2824420.727,100.589816510576,99.629215624525,7819483.27,36.1202988672677
902.0,1998,172999.7904,2821411.7779,100.667842038271,99.5230773159432,7819744.27,36.0806144099134
902.0,1999,173133.8786,2818402.8287,100.745867391398,99.416939003834,7820462.27,36.038826496378
902.0,2000,173334.6097,2816147.8796,100.862671964515,99.3373974511331,7830027.716,35.966001420984
902.0,2001,173521.1211,2815505.7899,100.971202154697,99.3147482429042,7829912.136,35.9583318560498
902.0,2002,173707.633,2814863.7003,101.079732635826,99.2920990382028,7829848.036,35.9504256961035
902.0,2003,173894.1445,2814221.6106,101.188262884198,99.2694498299741,7829901.186,35.941981178918
902.0,2004,174080.6566,2813579.521,101.296793481707,99.2468006252727,7829902.166,35.93377619988
